COGid	FunCat	Funk	Species	Genes	Alg.-Conn.	BGE	BGIGA	BOR	BPAA	BPLAN	CPUbr	MADAR
COG0234	O	Co-chaperonin_GroES_(HSP10)	7	7	0.912	BGE:CDS:BGE_I02020	BGIGA:CDS:BGIGA_I04250	BOR:CDS:BOR_I02040	BPAA:CDS:BPAA_I04310	BPLAN:CDS:BPLAN_I04380	CPUbr:CDS:CPUbr_I01910	MADAR:CDS:MADAR_I04050
COG0459	O	Chaperonin_GroEL_(HSP60_family)	7	7	0.975	BGE:CDS:BGE_I02010	BGIGA:CDS:BGIGA_I04260	BOR:CDS:BOR_I02030	BPAA:CDS:BPAA_I04320	BPLAN:CDS:BPLAN_I04390	CPUbr:CDS:CPUbr_I01900	MADAR:CDS:MADAR_I04060
COG0621	J	tRNA_A37_methylthiotransferase_MiaB	7	7	0.678	BGE:CDS:BGE_I02060	BGIGA:CDS:BGIGA_I04210	BOR:CDS:BOR_I02080	BPAA:CDS:BPAA_I04270	BPLAN:CDS:BPLAN_I04340	CPUbr:CDS:CPUbr_I01950	MADAR:CDS:MADAR_I04020
COG1778	MR	_3-deoxy-D-manno-octulosonate_8-phosphate_phosphatase_KdsC_and_related_HAD_superfamily_phosphatases	7	7	0.873	BGE:CDS:BGE_I02000	BGIGA:CDS:BGIGA_I04270	BOR:CDS:BOR_I02020	BPAA:CDS:BPAA_I04330	BPLAN:CDS:BPLAN_I04400	CPUbr:CDS:CPUbr_I01890	MADAR:CDS:MADAR_I04070
No-Hit	-	hypothetical	7	7	0.864	BGE:CDS:BGE_I01990	BGIGA:CDS:BGIGA_I04280	BOR:CDS:BOR_I02010	BPAA:CDS:BPAA_I04340	BPLAN:CDS:BPLAN_I04410	CPUbr:CDS:CPUbr_I01880	MADAR:CDS:MADAR_I04080
No-Hit	-	hypothetical	7	7	0.752	BGE:CDS:BGE_I02110	BGIGA:CDS:BGIGA_I04160	BOR:CDS:BOR_I02140	BPAA:CDS:BPAA_I04220	BPLAN:CDS:BPLAN_I04280	CPUbr:CDS:CPUbr_I02010	MADAR:CDS:MADAR_I03960
COG0781	K	Transcription_termination_factor_NusB	7	7	0.674	BGE:CDS:BGE_I01970	BGIGA:CDS:BGIGA_I04300	BOR:CDS:BOR_I01990	BPAA:CDS:BPAA_I04360	BPLAN:CDS:BPLAN_I04430	CPUbr:CDS:CPUbr_I01870	MADAR:CDS:MADAR_I04100
No-Hit	-	hypothetical	7	7	0.656	BGE:CDS:BGE_I01960	BGIGA:CDS:BGIGA_I04310	BOR:CDS:BOR_I01980	BPAA:CDS:BPAA_I04370	BPLAN:CDS:BPLAN_I04440	CPUbr:CDS:CPUbr_I01860	MADAR:CDS:MADAR_I04110
COG0237	H	Dephospho-CoA_kinase	7	7	0.625	BGE:CDS:BGE_I01950	BGIGA:CDS:BGIGA_I04320	BOR:CDS:BOR_I01970	BPAA:CDS:BPAA_I04380	BPLAN:CDS:BPLAN_I04450	CPUbr:CDS:CPUbr_I01850	MADAR:CDS:MADAR_I04120
COG2738	O	Zn-dependent_membrane_protease_YugP	7	7	0.764	BGE:CDS:BGE_I01940	BGIGA:CDS:BGIGA_I04340	BOR:CDS:BOR_I01960	BPAA:CDS:BPAA_I04400	BPLAN:CDS:BPLAN_I04460	CPUbr:CDS:CPUbr_I01830	MADAR:CDS:MADAR_I04140
COG1252	C	NADH_dehydrogenase,_FAD-containing_subunit	7	7	0.826	BGE:CDS:BGE_I01930	BGIGA:CDS:BGIGA_I04350	BOR:CDS:BOR_I01950	BPAA:CDS:BPAA_I04410	BPLAN:CDS:BPLAN_I04470	CPUbr:CDS:CPUbr_I01820	MADAR:CDS:MADAR_I04150
COG1169	HQ	Isochorismate_synthase_EntC	7	7	0.588	BGE:CDS:BGE_I01920	BGIGA:CDS:BGIGA_I04360	BOR:CDS:BOR_I01940	BPAA:CDS:BPAA_I04420	BPLAN:CDS:BPLAN_I04480	CPUbr:CDS:CPUbr_I01810	MADAR:CDS:MADAR_I04160
COG1219	O	ATP-dependent_protease_Clp,_ATPase_subunit	6	6	0.771	BGE:CDS:BGE_I02160	BGIGA:CDS:BGIGA_I04110	BOR:CDS:BOR_I02190	BPAA:CDS:BPAA_I04170	BPLAN:CDS:BPLAN_I04230	CPUbr:CDS:CPUbr_I02060	*
COG0264	J	Translation_elongation_factor_EF-Ts	7	7	0.607	BGE:CDS:BGE_I02280	BGIGA:CDS:BGIGA_I03990	BOR:CDS:BOR_I02310	BPAA:CDS:BPAA_I04050	BPLAN:CDS:BPLAN_I04110	CPUbr:CDS:CPUbr_I02180	MADAR:CDS:MADAR_I03810
COG0688	I	Phosphatidylserine_decarboxylase	7	7	0.664	BGE:CDS:BGE_I02230	BGIGA:CDS:BGIGA_I04040	BOR:CDS:BOR_I02260	BPAA:CDS:BPAA_I04100	BPLAN:CDS:BPLAN_I04160	CPUbr:CDS:CPUbr_I02130	MADAR:CDS:MADAR_I03860
COG0575	I	CDP-diglyceride_synthetase	7	7	0.784	BGE:CDS:BGE_I02220	BGIGA:CDS:BGIGA_I04050	BOR:CDS:BOR_I02250	BPAA:CDS:BPAA_I04110	BPLAN:CDS:BPLAN_I04170	CPUbr:CDS:CPUbr_I02120	MADAR:CDS:MADAR_I03870
COG0465	O	ATP-dependent_Zn_proteases	7	7	0.907	BGE:CDS:BGE_I02210	BGIGA:CDS:BGIGA_I04060	BOR:CDS:BOR_I02240	BPAA:CDS:BPAA_I04120	BPLAN:CDS:BPLAN_I04180	CPUbr:CDS:CPUbr_I02110	MADAR:CDS:MADAR_I03880
COG0799	J	Ribosomal_silencing_factor_RsfS,_regulates_association_of_30S_and_50S_subunits	6	6	0.788	BGE:CDS:BGE_I02200	BGIGA:CDS:BGIGA_I04070	BOR:CDS:BOR_I02230	BPAA:CDS:BPAA_I04130	BPLAN:CDS:BPLAN_I04190	CPUbr:CDS:CPUbr_I02100	*
COG0340	H	Biotin-(acetyl-CoA_carboxylase)_ligase	7	7	0.619	BGE:CDS:BGE_I02190	BGIGA:CDS:BGIGA_I04080	BOR:CDS:BOR_I02220	BPAA:CDS:BPAA_I04140	BPLAN:CDS:BPLAN_I04200	CPUbr:CDS:CPUbr_I02090	MADAR:CDS:MADAR_I03890
COG0706	M	Membrane_protein_insertase_Oxa1/YidC/SpoIIIJ,_required_for_the_localization_of_integral_membrane_proteins	7	7	0.632	BGE:CDS:BGE_I02180	BGIGA:CDS:BGIGA_I04090	BOR:CDS:BOR_I02210	BPAA:CDS:BPAA_I04150	BPLAN:CDS:BPLAN_I04210	CPUbr:CDS:CPUbr_I02080	MADAR:CDS:MADAR_I03900
COG0504	F	CTP_synthase_(UTP-ammonia_lyase)	7	7	0.851	BGE:CDS:BGE_I02170	BGIGA:CDS:BGIGA_I04100	BOR:CDS:BOR_I02200	BPAA:CDS:BPAA_I04160	BPLAN:CDS:BPLAN_I04220	CPUbr:CDS:CPUbr_I02070	MADAR:CDS:MADAR_I03910
COG1488	H	Nicotinic_acid_phosphoribosyltransferase	7	7	0.823	BGE:CDS:BGE_I02070	BGIGA:CDS:BGIGA_I04200	BOR:CDS:BOR_I02090	BPAA:CDS:BPAA_I04260	BPLAN:CDS:BPLAN_I04330	CPUbr:CDS:CPUbr_I01960	MADAR:CDS:MADAR_I04010
COG0536	DL	GTPase_involved_in_cell_partioning_and_DNA_repair	7	7	0.746	BGE:CDS:BGE_I02150	BGIGA:CDS:BGIGA_I04120	BOR:CDS:BOR_I02180	BPAA:CDS:BPAA_I04180	BPLAN:CDS:BPLAN_I04240	CPUbr:CDS:CPUbr_I02050	MADAR:CDS:MADAR_I03920
COG0563	F	Adenylate_kinase_or_related_kinase	7	7	0.754	BGE:CDS:BGE_I02140	BGIGA:CDS:BGIGA_I04130	BOR:CDS:BOR_I02170	BPAA:CDS:BPAA_I04190	BPLAN:CDS:BPLAN_I04250	CPUbr:CDS:CPUbr_I02040	MADAR:CDS:MADAR_I03930
COG1249	C	Pyruvate/2-oxoglutarate_dehydrogenase_complex,_dihydrolipoamide_dehydrogenase_(E3)_component_or_related_enzyme	7	7	0.704	BGE:CDS:BGE_I02130	BGIGA:CDS:BGIGA_I04140	BOR:CDS:BOR_I02160	BPAA:CDS:BPAA_I04200	BPLAN:CDS:BPLAN_I04260	CPUbr:CDS:CPUbr_I02030	MADAR:CDS:MADAR_I03940
COG0176	G	Transaldolase	7	7	0.771	BGE:CDS:BGE_I02120	BGIGA:CDS:BGIGA_I04150	BOR:CDS:BOR_I02150	BPAA:CDS:BPAA_I04210	BPLAN:CDS:BPLAN_I04270	CPUbr:CDS:CPUbr_I02020	MADAR:CDS:MADAR_I03950
COG0443	O	Molecular_chaperone_DnaK_(HSP70)	7	7	0.902	BGE:CDS:BGE_I02240	BGIGA:CDS:BGIGA_I04030	BOR:CDS:BOR_I02270	BPAA:CDS:BPAA_I04090	BPLAN:CDS:BPLAN_I04150	CPUbr:CDS:CPUbr_I02140	MADAR:CDS:MADAR_I03850
COG1528	P	Ferritin	7	7	0.733	BGE:CDS:BGE_I02100	BGIGA:CDS:BGIGA_I04170	BOR:CDS:BOR_I02120	BPAA:CDS:BPAA_I04230	BPLAN:CDS:BPLAN_I04300	CPUbr:CDS:CPUbr_I01990	MADAR:CDS:MADAR_I03980
COG0329	EM	Dihydrodipicolinate_synthase/N-acetylneuraminate_lyase	7	7	0.787	BGE:CDS:BGE_I02090	BGIGA:CDS:BGIGA_I04180	BOR:CDS:BOR_I02110	BPAA:CDS:BPAA_I04240	BPLAN:CDS:BPLAN_I04310	CPUbr:CDS:CPUbr_I01980	MADAR:CDS:MADAR_I03990
COG0724	J	_RNA_recognition_motif_(RRM)_domain	7	7	0.836	BGE:CDS:BGE_I02080	BGIGA:CDS:BGIGA_I04190	BOR:CDS:BOR_I02100	BPAA:CDS:BPAA_I04250	BPLAN:CDS:BPLAN_I04320	CPUbr:CDS:CPUbr_I01970	MADAR:CDS:MADAR_I04000
COG0305	L	Replicative_DNA_helicase	7	7	0.791	BGE:CDS:BGE_I01550	BGIGA:CDS:BGIGA_I04730	BOR:CDS:BOR_I01580	BPAA:CDS:BPAA_I04790	BPLAN:CDS:BPLAN_I04850	CPUbr:CDS:CPUbr_I01450	MADAR:CDS:MADAR_I04500
No-Hit	-	hypothetical	7	7	0.533	BGE:CDS:BGE_I01660	BGIGA:CDS:BGIGA_I04620	BOR:CDS:BOR_I01680	BPAA:CDS:BPAA_I04680	BPLAN:CDS:BPLAN_I04740	CPUbr:CDS:CPUbr_I01550	MADAR:CDS:MADAR_I04420
No-Hit	-	hypothetical	6	6	0.821	BGE:CDS:BGE_I01650	BGIGA:CDS:BGIGA_I04630	BOR:CDS:BOR_I01670	BPAA:CDS:BPAA_I04690	BPLAN:CDS:BPLAN_I04750	CPUbr:CDS:CPUbr_I01540	*
COG0060	J	Isoleucyl-tRNA_synthetase	7	7	0.727	BGE:CDS:BGE_I01640	BGIGA:CDS:BGIGA_I04640	BOR:CDS:BOR_I01660	BPAA:CDS:BPAA_I04700	BPLAN:CDS:BPLAN_I04760	CPUbr:CDS:CPUbr_I01530	MADAR:CDS:MADAR_I04430
COG0249	L	DNA_mismatch_repair_ATPase_MutS	7	7	0.751	BGE:CDS:BGE_I01630	BGIGA:CDS:BGIGA_I04650	BOR:CDS:BOR_I01650	BPAA:CDS:BPAA_I04710	BPLAN:CDS:BPLAN_I04770	CPUbr:CDS:CPUbr_I01520	MADAR:CDS:MADAR_I04440
COG0516	F	IMP_dehydrogenase/GMP_reductase	7	7	0.871	BGE:CDS:BGE_I01600	BGIGA:CDS:BGIGA_I04680	BOR:CDS:BOR_I01620	BPAA:CDS:BPAA_I04740	BPLAN:CDS:BPLAN_I04800	CPUbr:CDS:CPUbr_I01490	MADAR:CDS:MADAR_I04470
No-Hit	-	hypothetical	4	4	0.730	BGE:CDS:BGE_I01590	BGIGA:CDS:BGIGA_I04690	*	BPAA:CDS:BPAA_I04750	BPLAN:CDS:BPLAN_I04810	*	*
COG0335	J	Ribosomal_protein_L19	7	7	0.749	BGE:CDS:BGE_I01580	BGIGA:CDS:BGIGA_I04700	BOR:CDS:BOR_I01610	BPAA:CDS:BPAA_I04760	BPLAN:CDS:BPLAN_I04820	CPUbr:CDS:CPUbr_I01480	MADAR:CDS:MADAR_I04480
COG1109	G	Phosphomannomutase	7	7	0.812	BGE:CDS:BGE_I01570	BGIGA:CDS:BGIGA_I04710	BOR:CDS:BOR_I01600	BPAA:CDS:BPAA_I04770	BPLAN:CDS:BPLAN_I04830	CPUbr:CDS:CPUbr_I01470	MADAR:CDS:MADAR_I04490
COG4591	M	ABC-type_transport_system,_involved_in_lipoprotein_release,_permease_component	6	6	0.538	BGE:CDS:BGE_I01560	BGIGA:CDS:BGIGA_I04720	BOR:CDS:BOR_I01590	BPAA:CDS:BPAA_I04780	BPLAN:CDS:BPLAN_I04840	CPUbr:CDS:CPUbr_I01460	*
COG0050	J	Translation_elongation_factor_EF-Tu,_a_GTPase	7	7	0.940	BGE:CDS:BGE_I01710	BGIGA:CDS:BGIGA_I04570	BOR:CDS:BOR_I01730	BPAA:CDS:BPAA_I04630	BPLAN:CDS:BPLAN_I04690	CPUbr:CDS:CPUbr_I01600	MADAR:CDS:MADAR_I04370
COG0825	I	Acetyl-CoA_carboxylase_alpha_subunit	7	7	0.830	BGE:CDS:BGE_I01540	BGIGA:CDS:BGIGA_I04740	BOR:CDS:BOR_I01570	BPAA:CDS:BPAA_I04800	BPLAN:CDS:BPLAN_I04860	CPUbr:CDS:CPUbr_I01440	MADAR:CDS:MADAR_I04510
COG0479	C	Succinate_dehydrogenase/fumarate_reductase,_Fe-S_protein_subunit	7	7	0.853	BGE:CDS:BGE_I01530	BGIGA:CDS:BGIGA_I04750	BOR:CDS:BOR_I01560	BPAA:CDS:BPAA_I04810	BPLAN:CDS:BPLAN_I04870	CPUbr:CDS:CPUbr_I01430	MADAR:CDS:MADAR_I04520
COG1053	C	Succinate_dehydrogenase/fumarate_reductase,_flavoprotein_subunit	7	7	0.868	BGE:CDS:BGE_I01520	BGIGA:CDS:BGIGA_I04760	BOR:CDS:BOR_I01550	BPAA:CDS:BPAA_I04820	BPLAN:CDS:BPLAN_I04880	CPUbr:CDS:CPUbr_I01420	MADAR:CDS:MADAR_I04530
No-Hit	-	hypothetical	7	7	0.736	BGE:CDS:BGE_I01510	BGIGA:CDS:BGIGA_I04770	BOR:CDS:BOR_I01540	BPAA:CDS:BPAA_I04830	BPLAN:CDS:BPLAN_I04890	CPUbr:CDS:CPUbr_I01410	MADAR:CDS:MADAR_I04540
COG1104	E	Cysteine_sulfinate_desulfinase/cysteine_desulfurase_or_related_enzyme	7	7	0.730	BGE:CDS:BGE_I01500	BGIGA:CDS:BGIGA_I04780	BOR:CDS:BOR_I01530	BPAA:CDS:BPAA_I04840	BPLAN:CDS:BPLAN_I04900	CPUbr:CDS:CPUbr_I01400	MADAR:CDS:MADAR_I04550
COG1418	JR	HD_superfamily_phosphodieaserase,_includes_HD_domain_of_RNase_Y	7	7	0.912	BGE:CDS:BGE_I01490	BGIGA:CDS:BGIGA_I04790	BOR:CDS:BOR_I01520	BPAA:CDS:BPAA_I04850	BPLAN:CDS:BPLAN_I04910	CPUbr:CDS:CPUbr_I01390	MADAR:CDS:MADAR_I04560
COG1899	OJ	Deoxyhypusine_synthase	7	7	0.880	BGE:CDS:BGE_I01480	BGIGA:CDS:BGIGA_I04800	BOR:CDS:BOR_I01510	BPAA:CDS:BPAA_I04860	BPLAN:CDS:BPLAN_I04920	CPUbr:CDS:CPUbr_I01380	MADAR:CDS:MADAR_I04570
COG1249	C	Pyruvate/2-oxoglutarate_dehydrogenase_complex,_dihydrolipoamide_dehydrogenase_(E3)_component_or_related_enzyme	7	7	0.760	BGE:CDS:BGE_I01470	BGIGA:CDS:BGIGA_I04810	BOR:CDS:BOR_I01500	BPAA:CDS:BPAA_I04870	BPLAN:CDS:BPLAN_I04930	CPUbr:CDS:CPUbr_I01370	MADAR:CDS:MADAR_I04580
COG0008	J	Glutamyl-_or_glutaminyl-tRNA_synthetase	7	7	0.802	BGE:CDS:BGE_I01810	BGIGA:CDS:BGIGA_I04470	BOR:CDS:BOR_I01830	BPAA:CDS:BPAA_I04530	BPLAN:CDS:BPLAN_I04590	CPUbr:CDS:CPUbr_I01700	MADAR:CDS:MADAR_I04270
COG1443	I	Isopentenyldiphosphate_isomerase	7	7	0.716	BGE:CDS:BGE_I01900	BGIGA:CDS:BGIGA_I04380	BOR:CDS:BOR_I01920	BPAA:CDS:BPAA_I04440	BPLAN:CDS:BPLAN_I04500	CPUbr:CDS:CPUbr_I01790	MADAR:CDS:MADAR_I04180
COG0720	H	6-pyruvoyl-tetrahydropterin_synthase	7	7	0.789	BGE:CDS:BGE_I01890	BGIGA:CDS:BGIGA_I04390	BOR:CDS:BOR_I01910	BPAA:CDS:BPAA_I04450	BPLAN:CDS:BPLAN_I04510	CPUbr:CDS:CPUbr_I01780	MADAR:CDS:MADAR_I04190
COG0404	E	Glycine_cleavage_system_T_protein_(aminomethyltransferase)	7	7	0.688	BGE:CDS:BGE_I01880	BGIGA:CDS:BGIGA_I04400	BOR:CDS:BOR_I01900	BPAA:CDS:BPAA_I04460	BPLAN:CDS:BPLAN_I04520	CPUbr:CDS:CPUbr_I01770	MADAR:CDS:MADAR_I04200
COG0534	V	Na+-driven_multidrug_efflux_pump	7	7	0.790	BGE:CDS:BGE_I01870	BGIGA:CDS:BGIGA_I04410	BOR:CDS:BOR_I01890	BPAA:CDS:BPAA_I04470	BPLAN:CDS:BPLAN_I04530	CPUbr:CDS:CPUbr_I01760	MADAR:CDS:MADAR_I04210
COG0513	L	Superfamily_II_DNA_and_RNA_helicase	7	7	0.747	BGE:CDS:BGE_I01860	BGIGA:CDS:BGIGA_I04420	BOR:CDS:BOR_I01880	BPAA:CDS:BPAA_I04480	BPLAN:CDS:BPLAN_I04540	CPUbr:CDS:CPUbr_I01750	MADAR:CDS:MADAR_I04220
COG0082	E	Chorismate_synthase	7	7	0.833	BGE:CDS:BGE_I01850	BGIGA:CDS:BGIGA_I04430	BOR:CDS:BOR_I01870	BPAA:CDS:BPAA_I04490	BPLAN:CDS:BPLAN_I04550	CPUbr:CDS:CPUbr_I01740	MADAR:CDS:MADAR_I04230
COG0324	J	tRNA_A37_N6-isopentenylltransferase_MiaA	7	7	0.681	BGE:CDS:BGE_I01840	BGIGA:CDS:BGIGA_I04440	BOR:CDS:BOR_I01860	BPAA:PPgene:BPAA_I04500	BPLAN:CDS:BPLAN_I04560	CPUbr:CDS:CPUbr_I01730	MADAR:CDS:MADAR_I04240
COG0285	H	Folylpolyglutamate_synthase/Dihydropteroate_synthase	7	7	0.807	BGE:CDS:BGE_I01820	BGIGA:CDS:BGIGA_I04460	BOR:CDS:BOR_I01840	BPAA:CDS:BPAA_I04520	BPLAN:CDS:BPLAN_I04580	CPUbr:CDS:CPUbr_I01710	MADAR:CDS:MADAR_I04260
COG2050	Q	Acyl-coenzyme_A_thioesterase_PaaI,_contains_HGG_motif	7	7	0.595	BGE:CDS:BGE_I01910	BGIGA:CDS:BGIGA_I04370	BOR:CDS:BOR_I01930	BPAA:CDS:BPAA_I04430	BPLAN:CDS:BPLAN_I04490	CPUbr:CDS:CPUbr_I01800	MADAR:CDS:MADAR_I04170
COG0086	K	DNA-directed_RNA_polymerase,_beta'_subunit/160_kD_subunit	7	7	0.906	BGE:CDS:BGE_I01800	BGIGA:CDS:BGIGA_I04480	BOR:CDS:BOR_I01820	BPAA:CDS:BPAA_I04540	BPLAN:CDS:BPLAN_I04600	CPUbr:CDS:CPUbr_I01690	MADAR:CDS:MADAR_I04280
COG0085	K	DNA-directed_RNA_polymerase,_beta_subunit/140_kD_subunit	6	6	0.947	BGE:CDS:BGE_I01790	BGIGA:CDS:BGIGA_I04490	*	BPAA:CDS:BPAA_I04550	BPLAN:CDS:BPLAN_I04610	CPUbr:CDS:CPUbr_I01680	MADAR:CDS:MADAR_I04290
COG0222	J	Ribosomal_protein_L7/L12	7	7	0.752	BGE:CDS:BGE_I01780	BGIGA:CDS:BGIGA_I04500	BOR:CDS:BOR_I01800	BPAA:CDS:BPAA_I04560	BPLAN:CDS:BPLAN_I04620	CPUbr:CDS:CPUbr_I01670	MADAR:CDS:MADAR_I04300
COG0244	J	Ribosomal_protein_L10	7	7	0.620	BGE:CDS:BGE_I01770	BGIGA:CDS:BGIGA_I04510	BOR:CDS:BOR_I01790	BPAA:CDS:BPAA_I04570	BPLAN:CDS:BPLAN_I04630	CPUbr:CDS:CPUbr_I01660	MADAR:CDS:MADAR_I04310
COG0081	J	Ribosomal_protein_L1	7	7	0.672	BGE:CDS:BGE_I01760	BGIGA:CDS:BGIGA_I04520	BOR:CDS:BOR_I01780	BPAA:CDS:BPAA_I04580	BPLAN:CDS:BPLAN_I04640	CPUbr:CDS:CPUbr_I01650	MADAR:CDS:MADAR_I04320
COG0080	J	Ribosomal_protein_L11	7	7	0.796	BGE:CDS:BGE_I01750	BGIGA:CDS:BGIGA_I04530	BOR:CDS:BOR_I01770	BPAA:CDS:BPAA_I04590	BPLAN:CDS:BPLAN_I04650	CPUbr:CDS:CPUbr_I01640	MADAR:CDS:MADAR_I04330
COG0250	K	Transcription_antitermination_factor_NusG	7	7	0.892	BGE:CDS:BGE_I01740	BGIGA:CDS:BGIGA_I04540	BOR:CDS:BOR_I01760	BPAA:CDS:BPAA_I04600	BPLAN:CDS:BPLAN_I04660	CPUbr:CDS:CPUbr_I01630	MADAR:CDS:MADAR_I04340
No-Hit	-	hypothetical	7	7	0.813	BGE:CDS:BGE_I01730	BGIGA:CDS:BGIGA_I04550	BOR:CDS:BOR_I01750	BPAA:CDS:BPAA_I04610	BPLAN:CDS:BPLAN_I04670	CPUbr:CDS:CPUbr_I01620	MADAR:CDS:MADAR_I04350
COG0031	E	Cysteine_synthase	6	6	0.823	BGE:CDS:BGE_I02750	BGIGA:CDS:BGIGA_I03550	BOR:CDS:BOR_I02750	BPAA:CDS:BPAA_I03610	BPLAN:CDS:BPLAN_I03660	*	MADAR:CDS:MADAR_I03350
COG0449	M	Glucosamine_6-phosphate_synthetase,_contains_amidotransferase_and_phosphosugar_isomerase_domains	7	7	0.865	BGE:CDS:BGE_I02870	BGIGA:CDS:BGIGA_I03470	BOR:CDS:BOR_I02840	BPAA:CDS:BPAA_I03530	BPLAN:CDS:BPLAN_I03560	CPUbr:CDS:CPUbr_I02680	MADAR:CDS:MADAR_I03240
COG0297	G	Glycogen_synthase	7	7	0.862	BGE:CDS:BGE_I02860	BGIGA:CDS:BGIGA_I03480	BOR:CDS:BOR_I02830	BPAA:CDS:BPAA_I03540	BPLAN:CDS:BPLAN_I03570	CPUbr:CDS:CPUbr_I02670	MADAR:CDS:MADAR_I03250
COG0557	K	Exoribonuclease_R	7	7	0.746	BGE:CDS:BGE_I02850	BGIGA:CDS:BGIGA_I03490	BOR:CDS:BOR_I02820	BPAA:CDS:BPAA_I03550	BPLAN:CDS:BPLAN_I03580	CPUbr:CDS:CPUbr_I02660	MADAR:CDS:MADAR_I03260
COG0669	H	Phosphopantetheine_adenylyltransferase	7	7	0.713	BGE:CDS:BGE_I02840	BGIGA:CDS:BGIGA_I03500	BOR:CDS:BOR_I02810	BPAA:CDS:BPAA_I03560	BPLAN:CDS:BPLAN_I03590	CPUbr:CDS:CPUbr_I02650	MADAR:CDS:MADAR_I03270
COG1774	T	Cell_fate_regulator_YaaT,_PSP1_superfamily_(controls_sporulation,_competence,_biofilm_development)	7	7	0.757	BGE:CDS:BGE_I02830	BGIGA:CDS:BGIGA_I03510	BOR:CDS:BOR_I02800	BPAA:CDS:BPAA_I03570	BPLAN:CDS:BPLAN_I03600	CPUbr:CDS:CPUbr_I02640	MADAR:CDS:MADAR_I03280
COG0744	M	Membrane_carboxypeptidase_(penicillin-binding_protein)	7	7	0.835	BGE:CDS:BGE_I02820	BGIGA:CDS:BGIGA_I03520	BOR:CDS:BOR_I02790	BPAA:CDS:BPAA_I03580	BPLAN:CDS:BPLAN_I03610	CPUbr:CDS:CPUbr_I02630	MADAR:CDS:MADAR_I03290
COG0111	HR	Phosphoglycerate_dehydrogenase_or_related_dehydrogenase	7	7	0.766	BGE:CDS:BGE_I02810	BGIGA:CDS:BGIGA_I03530	BOR:CDS:BOR_I02780	BPAA:CDS:BPAA_I03590	BPLAN:CDS:BPLAN_I03620	CPUbr:CDS:CPUbr_I02620	MADAR:CDS:MADAR_I03300
COG0369	P	Sulfite_reductase,_alpha_subunit_(flavoprotein)	7	7	0.660	BGE:CDS:BGE_I02770	BGIGA:CDS:BGIGA_I03540	BOR:CDS:BOR_I02770	BPAA:CDS:BPAA_I03600	BPLAN:CDS:BPLAN_I03640	CPUbr:CDS:CPUbr_I02610	MADAR:CDS:MADAR_I03330
COG0007	H	Uroporphyrinogen-III_methylase_(siroheme_synthase)	3	3	0.980	BGE:CDS:BGE_I02760	*	*	*	BPLAN:CDS:BPLAN_I03650	*	MADAR:CDS:MADAR_I03340
